,dept_id,dept_name,dept_head,employee_id,age,gender,marital_status,avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
44,D00-SS,Sales,Edward J Bayley,105415,26,Male,Unmarried,120.0,0.0,0.494432,3,0.0,medium,0.458711,Employed,6.0
45,D00-UKN,Unknown,Unknown,113801,44,Male,Married,221.0,0.0,0.748904,4,0.0,medium,0.250428,Employed,5.0
46,D00-SS,Sales,Edward J Bayley,107371,25,Female,Unmarried,189.0,0.0,0.901136,3,0.0,low,0.977323,Employed,3.0
47,D00-UKN,Unknown,Unknown,100883,40,Female,Married,195.0,1.0,0.816122,5,0.0,low,0.945427,Employed,4.0
48,D00-ENG,Engineering,Sushant Raghunathan K,101222,36,Male,Married,274.0,0.0,0.9216,4,0.0,low,0.923817,Left,6.0
49,D00-SP,Support,Amelia Westray,109202,24,Female,Unmarried,160.0,0.0,0.617626,2,0.0,low,0.647948,Employed,4.0
50,D00-AD,Admin,Evelyn Tolson,102247,52,Male,Married,232.0,1.0,0.432481,4,0.0,medium,0.122095,Employed,3.0
51,D00-PD,Product,Darcy Staines,101499,31,Female,Married,265.0,1.0,0.899672,4,0.0,medium,1.0,Employed,4.0
52,D00-MN,Management,Ellie Trafton,100868,24,Female,Unmarried,212.0,0.0,0.89068,2,0.0,high,0.453724,Employed,2.0
53,D00-IT,IT,Henry Adey,118910,27,Male,Unmarried,214.0,0.0,0.667349,3,0.0,medium,0.564529,Employed,2.0
54,D00-SS,Sales,Edward J Bayley,104951,22,Male,Unmarried,269.0,0.0,1.0,4,0.0,low,0.526995,Employed,3.0
55,D00-SP,Support,Amelia Westray,109819,32,Male,Married,256.0,0.0,0.911943,5,0.0,low,0.779851,Left,5.0
56,D00-MT,Marketing,Reuben Swann,113517,51,Female,Married,184.0,1.0,0.908445,4,0.0,medium,0.560242,Employed,2.0
57,D00-FN,Finance,Aanchal J,117096,25,Male,Unmarried,128.0,0.0,0.7247044787878788,2,0.0,low,0.425254,Left,3.0
58,D00-PR,Procurement,Louie Viles,110888,42,Male,Married,152.0,0.0,0.673508,6,0.0,medium,0.720369,Employed,3.0
59,D00-SS,Sales,Edward J Bayley,109783,43,Male,Married,192.0,0.0,0.652254,4,0.0,medium,0.696913,Employed,3.0
60,D00-SP,Support,Amelia Westray,113744,39,Female,Married,159.0,0.0,0.7231704095688749,4,0.0,low,0.838085,Employed,3.0
61,D00-ENG,Engineering,Sushant Raghunathan K,117014,33,Male,Married,232.0,0.0,0.973183,5,0.0,medium,0.921918,Left,5.0
62,D00-IT,IT,Henry Adey,101644,25,Male,Unmarried,208.0,1.0,0.81669,4,0.0,low,0.834379,Employed,3.0
63,D00-SP,Support,Amelia Westray,107763,51,Male,Married,186.0,1.0,0.848844,4,0.0,low,0.643544,Employed,3.0
64,D00-FN,Finance,Aanchal J,126572,47,Female,Married,276.0,0.0,0.850814,7,0.0,low,0.0662955,Left,4.0
65,D00-ENG,Engineering,Sushant Raghunathan K,101109,44,Female,Married,134.0,0.0,0.847132,5,0.0,low,0.663566,Employed,4.0
66,D00-ENG,Engineering,Sushant Raghunathan K,113239,27,Male,Unmarried,256.0,0.0,0.743221,3,0.0,medium,0.793582,Employed,4.0
67,D00-ENG,Engineering,Sushant Raghunathan K,108314,24,Female,Unmarried,283.0,0.0,0.640519,3,0.0,low,0.445968,Employed,5.0
68,D00-FN,Finance,Aanchal J,112702,34,Male,Married,157.0,0.0,0.716197,4,0.0,low,0.636262,Employed,4.0
69,D00-SS,Sales,Edward J Bayley,112008,36,Female,Married,219.0,1.0,0.517559,4,0.0,medium,0.598769,Employed,4.0
70,D00-SS,Sales,Edward J Bayley,104311,25,Male,Unmarried,195.0,0.0,0.679584,3,0.0,low,0.649316,Employed,2.0
71,D00-ENG,Engineering,Sushant Raghunathan K,107675,38,Male,Married,268.0,0.0,0.714623,4,0.0,low,0.642979,Employed,3.0
72,D00-SS,Sales,Edward J Bayley,106419,44,Male,Married,266.0,1.0,0.616688,4,0.0,medium,0.554123,Employed,3.0
73,D00-ENG,Engineering,Sushant Raghunathan K,122644,29,Female,Married,264.0,0.0,0.936961,6,0.0,medium,0.115703,Left,4.0
74,D00-ENG,Engineering,Sushant Raghunathan K,129463,24,Female,Unmarried,258.0,0.0,0.935781,4,0.0,medium,0.964426,Left,5.0
75,D00-SS,Sales,Edward J Bayley,119781,26,Male,Unmarried,177.0,0.0,0.841417,3,0.0,medium,0.876155,Employed,2.0
76,D00-SP,Support,Amelia Westray,117646,34,Male,Married,273.0,1.0,0.87891,6,0.0,low,0.0847984,Left,4.0
77,D00-SS,Sales,Edward J Bayley,106142,29,Male,Unmarried,201.0,0.0,0.606555,4,0.0,low,0.608561,Employed,3.0
78,D00-ENG,Engineering,Sushant Raghunathan K,112263,33,Male,Married,232.0,0.0,0.829786,6,0.0,low,0.91896,Employed,6.0
79,D00-SP,Support,Amelia Westray,111268,25,Female,Unmarried,155.0,0.0,0.537898,2,0.0,low,0.345641,Left,3.0
80,D00-ENG,Engineering,Sushant Raghunathan K,102172,25,Female,Unmarried,183.0,0.0,0.777449,3,0.0,low,1.0,Employed,2.0
81,D00-SS,Sales,Edward J Bayley,115399,45,Male,Married,237.0,0.0,0.515568,4,0.0,low,0.969877,Employed,3.0
82,D00-MN,Management,Ellie Trafton,111760,25,Male,Unmarried,134.0,0.0,0.721628,2,0.0,high,0.626302,Employed,10.0
83,D00-SS,Sales,Edward J Bayley,103698,38,Male,Married,212.0,0.0,0.479365,4,0.0,medium,0.78591,Employed,2.0
84,D00-SS,Sales,Edward J Bayley,128624,25,Female,Unmarried,155.0,0.0,0.440299,2,0.0,low,0.415771,Left,3.0
85,D00-FN,Finance,Aanchal J,102266,39,Male,Married,242.0,0.0,0.781111,6,0.0,low,0.669866,Left,5.0
86,D00-ENG,Engineering,Sushant Raghunathan K,106640,24,Male,Unmarried,207.0,0.0,0.971518,3,0.0,low,0.620397,Employed,10.0
87,D00-ENG,Engineering,Sushant Raghunathan K,108402,37,Male,Married,261.0,1.0,1.0,5,0.0,medium,0.893372,Left,5.0
88,D00-MT,Marketing,Reuben Swann,113430,28,Male,Unmarried,270.0,1.0,0.767967,3,0.0,low,0.812302,Employed,2.0
89,D00-SS,Sales,Edward J Bayley,112069,23,Female,Unmarried,142.0,0.0,0.974864,4,0.0,low,0.746899,Employed,3.0
90,D00-IT,IT,Henry Adey,105021,38,Female,Married,263.0,1.0,0.68589,5,0.0,medium,0.659411,Employed,2.0
91,D00-ENG,Engineering,Sushant Raghunathan K,106612,37,Male,Married,258.0,0.0,0.767079,4,0.0,medium,0.944188,Employed,3.0
92,D00-ENG,Engineering,Sushant Raghunathan K,131426,29,Male,Married,211.0,0.0,0.51859,3,0.0,medium,0.603239,Employed,3.0
93,D00-IT,IT,Henry Adey,103271,33,Male,Married,269.0,0.0,0.930676,6,0.0,low,0.0945477,Left,4.0
94,D00-SS,Sales,Edward J Bayley,113867,23,Female,Unmarried,202.0,0.0,0.710672301578354,3,0.0,medium,0.425503,Left,3.0
95,D00-SS,Sales,Edward J Bayley,112203,45,Male,Married,206.0,0.0,1.0,6,0.0,medium,0.783548,Left,5.0
96,D00-MT,Marketing,Reuben Swann,105490,26,Male,Unmarried,184.0,1.0,0.7149338820301783,3,0.0,medium,0.839356,Employed,3.0
97,D00-SP,Support,Amelia Westray,109033,53,Male,Married,168.0,0.0,0.88223,5,0.0,low,0.929701,Employed,2.0
98,D00-MT,Marketing,Reuben Swann,107620,30,Male,Married,229.0,0.0,0.783213,5,0.0,medium,0.741678,Employed,2.0
99,D00-UKN,Unknown,Unknown,118210,27,Male,Unmarried,146.0,0.0,0.580721,2,0.0,low,0.435423,Left,3.0
100,D00-SS,Sales,Edward J Bayley,122572,25,Female,Unmarried,132.0,0.0,0.477055,2,0.0,medium,0.495775,Left,3.0
101,D00-PD,Product,Darcy Staines,120715,22,Female,Unmarried,253.0,0.0,0.890877,5,0.0,low,0.686479,Left,5.0
102,D00-ENG,Engineering,Sushant Raghunathan K,107957,53,Male,Married,207.0,1.0,0.7227253766623767,4,0.0,low,0.915047,Employed,2.0
103,D00-FN,Finance,Aanchal J,139834,40,Male,Married,215.0,1.0,0.742464,5,0.0,medium,0.696834,Employed,2.0
104,D00-AD,Admin,Evelyn Tolson,146220,41,Female,Married,274.0,0.0,0.73758,4,0.0,low,0.772181,Employed,2.0
105,D00-IT,IT,Henry Adey,111267,23,Male,Unmarried,153.0,1.0,0.72014,4,0.0,medium,0.896238,Employed,2.0
106,D00-FN,Finance,Aanchal J,115335,41,Male,Married,271.0,0.0,0.930623,6,0.0,medium,0.115811,Left,4.0
107,D00-ENG,Engineering,Sushant Raghunathan K,108799,23,Male,Unmarried,225.0,0.0,0.539891,3,0.0,low,0.479494,Employed,2.0
108,D00-TP,Temp,Micheal Zachrey,100247,25,Male,Unmarried,68.0,0.0,0.0,1,0.0,low,0.0,Employed,0.0
109,D00-ENG,Engineering,Sushant Raghunathan K,104254,27,Male,Unmarried,307.0,0.0,0.857379,3,0.0,low,0.831078,Left,5.0
110,D00-PD,Product,Darcy Staines,119283,46,Male,Married,215.0,0.0,0.719523343832021,4,0.0,high,0.78342,Employed,3.0
111,D00-ENG,Engineering,Sushant Raghunathan K,103621,34,Male,Married,281.0,0.0,0.768422,7,0.0,low,0.0524527,Left,4.0
112,D00-MN,Management,Ellie Trafton,125014,22,Female,Unmarried,226.0,0.0,0.91252,5,0.0,medium,0.84515,Left,5.0
113,D00-PD,Product,Darcy Staines,100385,44,Male,Married,238.0,1.0,0.655888,4,0.0,medium,0.949997,Employed,10.0
114,D00-SS,Sales,Edward J Bayley,112274,30,Male,Married,262.0,0.0,0.96521,5,0.0,low,0.911536,Left,6.0
115,D00-UKN,Unknown,Unknown,119983,24,Male,Unmarried,166.0,0.0,0.478692,3,0.0,low,0.274336,Employed,6.0
116,D00-SP,Support,Amelia Westray,100777,26,Male,Unmarried,155.0,1.0,0.360585,2,0.0,medium,0.70344,Employed,5.0
117,D00-SS,Sales,Edward J Bayley,112669,28,Male,Unmarried,244.0,1.0,0.844152,3,0.0,medium,0.907709,Employed,3.0
118,D00-PR,Procurement,Louie Viles,115694,26,Male,Unmarried,167.0,0.0,0.874656,3,0.0,medium,0.575996,Employed,4.0
119,D00-SS,Sales,Edward J Bayley,117486,33,Male,Married,127.0,0.0,0.787544,6,0.0,low,0.537587,Employed,3.0
120,D00-SS,Sales,Edward J Bayley,116281,23,Female,Unmarried,140.0,0.0,0.431742,2,0.0,medium,0.397724,Left,3.0
121,D00-FN,Finance,Aanchal J,134467,22,Male,Unmarried,144.0,0.0,0.539767,2,0.0,low,0.511552,Employed,3.0
122,D00-MT,Marketing,Reuben Swann,108518,27,Male,Unmarried,129.0,0.0,0.422229,2,0.0,low,0.462792,Left,3.0
123,D00-SP,Support,Amelia Westray,122448,22,Female,Unmarried,140.0,0.0,0.457325,2,0.0,low,0.360823,Left,3.0
124,D00-SP,Support,Amelia Westray,147049,35,Female,Married,98.0,0.0,0.976213,5,0.0,medium,0.619492,Employed,2.0
125,D00-SP,Support,Amelia Westray,119730,26,Male,Unmarried,249.0,0.0,0.859744,3,0.0,medium,0.781639,Employed,2.0
126,D00-MT,Marketing,Reuben Swann,106113,28,Male,Unmarried,139.0,0.0,0.585046,2,0.0,low,0.432417,Left,3.0
127,D00-SS,Sales,Edward J Bayley,117143,29,Male,Unmarried,149.0,0.0,0.42012,2,0.0,medium,0.381976,Left,3.0
128,D00-MT,Marketing,Reuben Swann,120768,23,Female,Unmarried,129.0,0.0,0.585855,2,0.0,high,0.479842,Left,3.0
129,D00-SP,Support,Amelia Westray,125909,24,Female,Unmarried,264.0,0.0,0.89679,4,0.0,medium,0.815085,Left,5.0
130,D00-SP,Support,Amelia Westray,119296,27,Male,Unmarried,157.0,0.0,0.432132,2,0.0,low,0.493738,Left,3.0
131,D00-ENG,Engineering,Sushant Raghunathan K,114489,41,Male,Married,247.0,0.0,0.538281,5,0.0,high,0.581932,Employed,4.0
132,D00-SS,Sales,Edward J Bayley,133284,29,Male,Unmarried,166.0,0.0,0.665425,3,0.0,low,0.615027,Employed,2.0
133,D00-ENG,Engineering,Sushant Raghunathan K,111921,23,Male,Unmarried,191.0,0.0,0.903538,3,0.0,low,0.651357,Employed,4.0
134,D00-MT,Marketing,Reuben Swann,107239,23,Male,Unmarried,151.0,0.0,0.510816,2,0.0,low,0.388506,Left,3.0
135,D00-AD,Admin,Evelyn Tolson,110389,25,Male,Unmarried,198.0,0.0,0.7261866274509804,3,0.0,low,0.636569,Employed,3.0
136,D00-UKN,Unknown,Unknown,112817,44,Female,Married,257.0,0.0,0.664783,4,0.0,low,0.109201,Left,3.0
137,D00-SP,Support,Amelia Westray,102637,22,Male,Unmarried,130.0,0.0,0.459206,2,0.0,medium,0.415112,Left,3.0
138,D00-ENG,Engineering,Sushant Raghunathan K,116178,24,Female,Unmarried,146.0,0.0,0.912453,4,0.0,medium,0.700237,Employed,2.0
139,D00-PD,Product,Darcy Staines,116026,25,Female,Unmarried,239.0,0.0,0.919374,4,0.0,low,0.829872,Left,5.0
140,D00-SS,Sales,Edward J Bayley,113338,29,Male,Unmarried,140.0,0.0,0.467978,2,0.0,low,0.461881,Left,3.0
141,D00-SP,Support,Amelia Westray,102824,24,Male,Unmarried,150.0,0.0,0.7231704095688749,3,0.0,high,0.982052,Employed,3.0
142,D00-ENG,Engineering,Sushant Raghunathan K,119214,24,Female,Unmarried,260.0,0.0,0.84327,3,0.0,low,0.620843,Employed,3.0
143,D00-IT,IT,Henry Adey,113360,27,Male,Unmarried,238.0,0.0,0.480189,2,0.0,low,0.951678,Employed,4.0
144,D00-SP,Support,Amelia Westray,112791,48,Male,Married,262.0,0.0,0.662341,5,0.0,medium,0.167312,Employed,6.0
145,D00-ENG,Engineering,Sushant Raghunathan K,125463,25,Female,Unmarried,126.0,0.0,0.463118,2,0.0,low,0.427446,Left,3.0
146,D00-SP,Support,Amelia Westray,104993,43,Male,Married,216.0,0.0,0.546653,4,0.0,low,0.817086,Employed,2.0
147,D00-SP,Support,Amelia Westray,109560,33,Female,Married,196.0,0.0,0.638908,5,0.0,low,0.938323,Employed,3.0
148,D00-SS,Sales,Edward J Bayley,114743,34,Male,Married,230.0,0.0,0.961628,4,0.0,high,0.574238,Employed,3.0
149,D00-ENG,Engineering,Sushant Raghunathan K,103049,53,Female,Married,202.0,0.0,0.592455,4,0.0,low,0.747906,Employed,3.0
150,D00-SP,Support,Amelia Westray,110587,43,Male,Married,258.0,0.0,0.957026,4,0.0,low,0.51132,Employed,3.0
151,D00-SS,Sales,Edward J Bayley,118843,24,Female,Unmarried,243.0,1.0,1.0,3,0.0,medium,0.675261,Employed,3.0
152,D00-SS,Sales,Edward J Bayley,111489,22,Male,Unmarried,229.0,1.0,0.938412,3,0.0,medium,0.835452,Employed,3.0
153,D00-IT,IT,Henry Adey,115199,35,Female,Married,164.0,0.0,0.908506,4,0.0,low,0.924063,Employed,4.0
154,D00-ENG,Engineering,Sushant Raghunathan K,114381,49,Male,Married,264.0,0.0,0.7227253766623767,5,0.0,low,0.885394,Employed,3.0
155,D00-SS,Sales,Edward J Bayley,115952,23,Male,Unmarried,204.0,0.0,0.710672301578354,3,0.0,medium,1.0,Employed,2.0
156,D00-SP,Support,Amelia Westray,136199,31,Male,Married,220.0,1.0,0.7231704095688749,3,0.0,low,0.903321,Employed,3.0
157,D00-FN,Finance,Aanchal J,100178,23,Male,Unmarried,153.0,0.0,0.448672,2,0.0,low,0.406216,Left,3.0
158,D00-SS,Sales,Edward J Bayley,111176,43,Male,Married,194.0,0.0,0.651072,5,0.0,medium,0.449576,Employed,3.0
159,D00-ENG,Engineering,Sushant Raghunathan K,105219,22,Female,Unmarried,143.0,0.0,0.465362,2,0.0,high,0.338598,Employed,3.0
160,D00-SS,Sales,Edward J Bayley,103836,25,Male,Unmarried,247.0,0.0,0.95227,3,0.0,medium,0.590293,Employed,3.0
161,D00-SS,Sales,Edward J Bayley,112788,45,Male,Married,202.0,0.0,0.624511,4,0.0,medium,0.742425,Employed,3.0
162,D00-SS,Sales,Edward J Bayley,100562,53,Male,Married,178.0,0.0,0.710672301578354,4,0.0,low,0.758775,Employed,3.0
163,D00-FN,Finance,Aanchal J,111208,48,Male,Married,183.0,0.0,0.948047,5,0.0,high,0.187511,Employed,5.0
164,D00-SS,Sales,Edward J Bayley,109686,42,Male,Married,185.0,0.0,0.710672301578354,5,0.0,medium,0.944566,Employed,2.0
165,D00-ENG,Engineering,Sushant Raghunathan K,112762,49,Male,Married,201.0,1.0,0.889029,4,0.0,medium,0.600105,Employed,3.0
166,D00-MT,Marketing,Reuben Swann,107021,22,Male,Unmarried,230.0,1.0,0.905048,3,0.0,high,0.979829,Employed,3.0
167,D00-ENG,Engineering,Sushant Raghunathan K,108850,48,Male,Married,277.0,0.0,0.978016,6,0.0,low,0.145739,Left,5.0
168,D00-PD,Product,Darcy Staines,103102,45,Female,Married,191.0,0.0,0.719523343832021,4,0.0,medium,0.818641,Employed,2.0
169,D00-MT,Marketing,Reuben Swann,118729,28,Female,Married,232.0,0.0,0.842387,5,0.0,low,1.0,Employed,3.0
170,D00-SP,Support,Amelia Westray,111694,24,Female,Unmarried,228.0,0.0,0.970154,3,0.0,medium,0.708621,Employed,2.0
171,D00-IT,IT,Henry Adey,104093,43,Male,Married,161.0,0.0,0.556223,4,0.0,low,0.884242,Employed,3.0
172,D00-UKN,Unknown,Unknown,113153,36,Male,Married,246.0,0.0,0.923536,6,0.0,medium,0.0778585,Left,4.0
173,D00-IT,IT,Henry Adey,107692,25,Female,Unmarried,225.0,0.0,0.887343,3,0.0,high,0.587323,Employed,3.0
174,D00-ENG,Engineering,Sushant Raghunathan K,112165,25,Male,Unmarried,141.0,0.0,0.495236,2,0.0,medium,0.379167,Left,3.0
175,D00-UKN,Unknown,Unknown,105468,25,Female,Unmarried,280.0,0.0,0.565752,3,0.0,medium,0.493396,Employed,2.0
176,D00-MN,Management,Ellie Trafton,103371,22,Female,Unmarried,161.0,0.0,0.634417,4,0.0,high,0.836785,Employed,2.0
177,D00-SS,Sales,Edward J Bayley,100233,53,Male,Married,172.0,0.0,0.744644,5,0.0,high,0.233358,Employed,4.0
178,D00-ENG,Engineering,Sushant Raghunathan K,108881,45,Female,Married,173.0,0.0,0.484482,5,0.0,medium,0.462348,Employed,5.0
179,D00-SS,Sales,Edward J Bayley,107107,29,Male,Unmarried,211.0,0.0,0.710672301578354,3,0.0,medium,0.724874,Employed,3.0
180,D00-SP,Support,Amelia Westray,112279,32,Male,Married,130.0,0.0,0.502868,6,0.0,medium,0.765469,Employed,2.0
181,D00-MT,Marketing,Reuben Swann,118087,57,Male,Married,264.0,0.0,0.99358,4,0.0,low,0.893411,Left,5.0
182,D00-MN,Management,Ellie Trafton,118443,22,Male,Unmarried,111.0,0.0,0.562904,2,0.0,high,0.563831,Employed,2.0
183,D00-IT,IT,Henry Adey,113046,22,Male,Unmarried,158.0,0.0,0.443358,2,0.0,low,0.348893,Left,3.0
184,D00-SS,Sales,Edward J Bayley,110408,57,Male,Married,251.0,0.0,0.952368,5,0.0,low,0.86728,Left,6.0
185,D00-ENG,Engineering,Sushant Raghunathan K,106946,24,Female,Unmarried,247.0,0.0,0.889754,3,0.0,high,0.751535,Employed,2.0
186,D00-SS,Sales,Edward J Bayley,100470,23,Male,Unmarried,231.0,0.0,0.533486,3,0.0,low,0.518847,Employed,3.0
187,D00-IT,IT,Henry Adey,107982,36,Male,Married,244.0,0.0,0.680662,5,0.0,low,0.928567,Employed,2.0
188,D00-ENG,Engineering,Sushant Raghunathan K,103176,40,Male,Married,193.0,0.0,0.824404,5,0.0,medium,0.880307,Employed,4.0
189,D00-ENG,Engineering,Sushant Raghunathan K,106971,24,Female,Unmarried,188.0,0.0,0.876678,3,0.0,medium,0.889267,Employed,4.0
190,D00-SS,Sales,Edward J Bayley,111321,23,Male,Unmarried,160.0,1.0,0.523097,2,1.0,low,0.497947,Left,3.0
191,D00-FN,Finance,Aanchal J,109590,22,Female,Unmarried,155.0,0.0,0.874397,3,0.0,medium,0.944692,Employed,2.0
192,D00-MT,Marketing,Reuben Swann,106386,32,Male,Married,239.0,0.0,0.551249,4,0.0,low,0.964746,Employed,3.0
193,D00-SP,Support,Amelia Westray,118809,42,Female,Married,262.0,0.0,0.566444,5,0.0,medium,0.572875,Employed,3.0
194,D00-ENG,Engineering,Sushant Raghunathan K,118195,23,Female,Unmarried,150.0,0.0,0.473986,2,0.0,medium,0.372688,Left,3.0
195,D00-ENG,Engineering,Sushant Raghunathan K,113028,28,Male,Unmarried,166.0,0.0,0.749539,3,0.0,medium,0.773857,Employed,3.0
196,D00-SP,Support,Amelia Westray,118027,29,Male,Unmarried,183.0,0.0,0.417588,4,0.0,medium,0.905704,Employed,5.0
197,D00-SS,Sales,Edward J Bayley,103858,28,Male,Unmarried,166.0,0.0,0.702736,3,1.0,high,0.784444,Employed,3.0
198,D00-SP,Support,Amelia Westray,105277,27,Male,Unmarried,195.0,0.0,0.923616,3,0.0,low,0.535514,Employed,10.0
199,D00-MT,Marketing,Reuben Swann,139547,27,Male,Unmarried,150.0,0.0,0.876705,3,0.0,medium,0.9239,Employed,2.0
200,D00-SP,Support,Amelia Westray,102763,47,Female,Married,184.0,0.0,1.0,4,0.0,low,0.983719,Employed,4.0
201,D00-PD,Product,Darcy Staines,104196,25,Male,Unmarried,168.0,0.0,0.517706,4,0.0,medium,0.566822,Employed,3.0
